author,stars,comment
"lindadoublel",5,"Beauty Effect:Natural Beauty Profile:Skin type Benefits:Waterproof  Wowwww!!!!! Amazing… i so like this foundational very good and easy to use  I love this so much 😙😙😘"
"s*****s",5,"Beauty Profile:hyperpigmentation, uneven skin tone User Tips:perfect for asian sawo matang, yellow-tan skintone Usage Experience:perfect, doesnt run easily and matte!  Fast delivery, well packed, functions well, thank you seller!"
"secret_baby88",5,"Coverage:good Texture:good  This is my second purchase. I bought it at a discounted price. I'm satisfied with the makeup application; the makeup lasts a long time, but I still need to use setting spray."
"h*****e",5,"Packaging:Modern jeans with embroidered 'Skintific' packaging, 11ml Beauty Effect:Matte finishing  Finally got my hands on this Jeans version! This blue cushion suits my combination to oily skin. But the content is only 11ml, lasts me for only 1 month+ for everyday usage.   Has medium buildable coverage, no need concealer if you don't have dark scars. This one has matte finishing so it doesn't crack after long hours, surprisingly it works well for me!"
"ainaalyaanaa",5,"User Tips:tap gently with the cushion puff instead of swiping. for longger wear, set lightly with powder on t-zone. keeps it matte all day. Benefits:the cushion has smooth texture, blends easily & gives a nice matte finish. coverage is good, lightweight & comfortable to wear even for long hours. Packaging:packaging secure  overall im happy with this purchase. beli time live memang murah. great service from seller, very helpful. product arrived quickly without any issue. highly recommended!!!"
"n*****7",5,"Coverage:medium to high Texture:smooth and buildable  First time try matte punya. Sebelum ni pakai yg gold mmg cantik je kat kulit. Nampak sangat smooth & coverage pun buildable. Saya kerja bawah aircond so pakai ni jd matte je kat muka. Pastu topup dgn loose powder memang nampak okay kat skin. Skin saya pun ada parut jerawat, boleh cover. Beli refill dlm live boleh dpt under 20 juga."
"zara_zah05",5,"Beauty Profile:nice Beauty Effect:matte  Well finishing dia mmg nice sbb tu saya guna ni n siuk, by the way memamg recommend kan , kepada muka2 berminyak memang nice kalau pakai cushion ni"
"h*****7",5,"Fast delivery! under 2 days i would say and arrived in proper sealed package. The code SAND bit lit for me but adjustable i guess for me. it's more to yellow tone kind of fair rather than white kind of fair like, southeast asian skin tone than eastern asians like korea , china or japan kind of skin tone. Since its matte, it set quite fast so you need to blend it fast and it's also think and less watery, soft to skin and water resistant. verrrryyy easy to blend and not cakey, light on skin and cover my blemishes very well and barely see any cracks. Thank youu skintific. 🌸"
"blackynully",5,"Beauty Effect:Matte Packaging:kemas dan exclusive  puff lembut & senang ratakan. ringan di kulit, tak bercapuk n tak tebal. cover jeragat, bekas jerawat & cela dengan natural. tahan lama, tak mudah cair bila berpeluh. ada efek glowing tapi masih nampak natural, sesuai untuk dipakai harian."
"n*****a",5,"Benefits:good Beauty Effect:good Usage Experience:good  Your parcel has been successfully out from warehouse and started cross-border transportation, please wait patiently for your parcel to be delivered!"
"e*****4",5,"Beauty Effect:Matte finish. Not oily after applying. Good coverage. Packaging:Well packed, no damage to the box. But there is a smell when opening the jeans box. Usage Experience:I use this every day and it helps to even up my skin tone. It is not cakey and gives a good coverage. The frequency to change a new refill is high though."
