author,stars,comment
"f*****p",5,"Skin Suitability:suit my oily skin Absorption:well absorb  I have heard so many good things about this product. Mind you, i was sceptical at first. But when i tried it, it really felt good on my skin! And for this price? Definitely a steal! I will buy again here soon 🥰"
"nadasara",5,"Absorption:Sangat mudah menyerap pada kulit pastu soft sangat texture dia  Sesuai dengan kulit, lembut & tak berminyak. Suka sangat hehehe. Dah banyak kali repeat beli. Beli waktu live memang dapat murah 👍🏻👍🏻"
"y*****z",5,"size besar makk lurvee🫰 this is the best moisturiser I've ever tried (i tried a lot) dia left ur skin smooth and jarang breakout yee"
"aaisyah7_",5,"Skin Suitability:okey Absorption:bagus  I have combination skin. Texture is light tak rasa berat kulit muka bila pakai. Baru 1st day pakai will review again after 1 week"
"a*****n",5,"Skin Suitability:great Effectiveness:great  Bruhh i thougth 80g dah paling banyak sekali dia produce yang 100g memang lurveee yang penting kena beli masa sale hiks"
"n*****a",5,"Texture:absorbs quickly & non-greasy Skin Type:suitable for all skin types  Bought it for the 2nd time. rm55 only on 1/1 sale. Tiny bump sesuai pakai. It also fixed up my skin barrier. My sunburn fades within 2 weeks with consistent use."
"dansonyong",5,"Skin Suitability:good Absorption:good  I’m very happy with this moisturizer! The texture is smooth and absorbs quickly without feeling greasy. It provides great hydration and makes my skin feel fresh and healthy. Definitely worth the price — I’ll buy again!"
"z*****a",5,"Absorption:fast absorption Skin Suitability:all skin types  saya dry skin, dah seminggu pakai, jerawat susah naik and dark spot pun start hilang 😍 💕skintific ni best, kulit rasa licin 😚suka gila! tekstur dia lembut mcm awan."
"r*****g",5,"Absorption:Fast  Belum cuba lagi, will update after 1 week guna..baru test di tangan, fast absorp"
"v*****i",5,"This product is really good for my skin. I’ve been using it for about three years now. Buying it during a sale is definitely worth it. Its large size is also very satisfying."
"_*****_",5,"Absorption:good absortion Skin Suitability:oily skin  Texture lembut, ringan, smooth bila pakai di pipi cepat meresap.. first time nak cuba harap sesuai dgn kulit muka saya yg oily"
"o*****a",5,"Texture:cepat meresap Skin Type:sesuai sngt untk kulit kombinasi  Beli yg besar sbb yg kecik cepat sngt habis"
"a*****3",5,"Texture:The texture is lightweight, non-greasy, and absorbs quickly."
"mommylonda",5,"Skin Suitability:Perfect Effectiveness:Efficient  Dah almost 2 tahun dgn skintific. Pelembap ni mmg best. Ada 100g puas hati pakai"
"a*****0",5,"Absorption:fast Skin Suitability:oily  I really like this moisturizer. The texture is lightweight, absorbs quickly, and doesn’t feel greasy at all. It helps keep my skin hydrated and calm, especially when my skin barrier feels weak. Suitable for daily use and works well under makeup."
"k*****7",5,"Skin Suitability:Semakin ok Absorption:Mudah serap d kulit  Sangat berkesan untuk kulit wajah saya. Sangat di galakan untuk membeli 1 set. Terbaik untuk kulit saya ❤️❤️."
"d*****a",5,"I’ve been using the Skintific moisturizer and it works really well! The texture is lightweight, non-greasy, and absorbs quickly. It keeps my skin hydrated all day without causing any breakouts. I love the smooth, glowing effect it gives. Perfect for daily use, especially for sensitive or combination skin."
"p*****3",5,"The product from Skintific 5X ceramide is very good to use when we exfoliate using the Skintific peeling solution product.  Because it contains ingredients that are soothing for facial skin after exfoliation, the information I got from live streaming on Shopee.  Hopefully the results are good, Thx to the Skintific official store for the timely delivery 💋"
"shelaothman",5,"serios Best sangat moisturizer skintific ni. try yang kecik dulu klu berbaloi ok. repeat yang besaq. Bau pun dh wangi. harap sesuailah dengan skin yang kering ni. tq seller penghantaran cepat."
"effa_clovergurl3",5,"Effectiveness:good Skin Suitability:good  Ok dh sampai. Tekstur dia memang sangat2 light ye. Xmelekit langsung dan cepat serap. Memang xberminyak pakai. Kulit ok stakat ni dan muka dah kurang berminyak. Effective ya for my skin 🥰"
"a*****_",5,"Skin Suitability:dry skin, skin barrier problem Absorption:cepat menyerap, serasi dgn semua kulit..  5x ceramide, hyaluronic acid, centella, marine collagen..pemakai tegar.."
"e*****9",5,"Penghantaran cepat dan selamat sampai.memang pakai sebelum ni tapi yang 30g.Ini 100g dapat harga murah memang berbaloi beli.sesuai dengan kulit saya. Tq seller,shopee dan kurier"
"j*****2",5,"Moisture Gel is light, soothing, and absorbs quickly without stickiness"
"m*****j",5,"Fast absorbed on my face. Love the texture, so light and smooth. Recommended."
