product,author,stars,sentiment,tags,free_text,clean_text,processed_text,tokens_lemma
moisturizer,f*****p,5,positive,"{'Skin Suitability': 'suit my oily skin', 'Absorption': 'well absorb'}","I have heard so many good things about this product. Mind you, i was sceptical at first. But when i tried it, it really felt good on my skin! And for this price? Definitely a steal! I will buy again here soon 🥰",i have heard so many good things about this product mind you i was sceptical at first but when i tried it it really felt good on my skin and for this price definitely a steal i will buy again here soon,heard many good thing mind sceptical tried felt good skin definitely steal soon,"['heard', 'many', 'good', 'thing', 'mind', 'sceptical', 'tried', 'felt', 'good', 'skin', 'definitely', 'steal', 'soon']"
moisturizer,y*****z,5,positive,{},size besar makk lurvee🫰 this is the best moisturiser I've ever tried (i tried a lot) dia left ur skin smooth and jarang breakout yee,size besar makk lurvee this is the best moisturiser i ve ever tried i tried a lot dia left ur skin smooth and jarang breakout yee,size besar makk lurvee best moisturiser ever tried tried lot dia left skin smooth jarang breakout yee,"['size', 'besar', 'makk', 'lurvee', 'best', 'moisturiser', 'ever', 'tried', 'tried', 'lot', 'dia', 'left', 'skin', 'smooth', 'jarang', 'breakout', 'yee']"
moisturizer,n*****a,5,positive,"{'Texture': 'absorbs quickly & non-greasy', 'Skin Type': 'suitable for all skin types'}",Bought it for the 2nd time. rm55 only on 1/1 sale. Tiny bump sesuai pakai. It also fixed up my skin barrier. My sunburn fades within 2 weeks with consistent use.,bought it for the nd time rm only on sale tiny bump sesuai pakai it also fixed up my skin barrier my sunburn fades within weeks with consistent use,sale tiny bump sesuai pakai fixed skin barrier sunburn fade within week consistent,"['sale', 'tiny', 'bump', 'sesuai', 'pakai', 'fixed', 'skin', 'barrier', 'sunburn', 'fade', 'within', 'week', 'consistent']"
moisturizer,dansonyong,5,positive,"{'Skin Suitability': 'good', 'Absorption': 'good'}",I’m very happy with this moisturizer! The texture is smooth and absorbs quickly without feeling greasy. It provides great hydration and makes my skin feel fresh and healthy. Definitely worth the price — I’ll buy again!,i m very happy with this moisturizer the texture is smooth and absorbs quickly without feeling greasy it provides great hydration and makes my skin feel fresh and healthy definitely worth the price i ll buy again,happy moisturizer texture smooth absorbs quickly without feeling greasy provides great hydration make skin feel fresh healthy definitely worth,"['happy', 'moisturizer', 'texture', 'smooth', 'absorbs', 'quickly', 'without', 'feeling', 'greasy', 'provides', 'great', 'hydration', 'make', 'skin', 'feel', 'fresh', 'healthy', 'definitely', 'worth']"
moisturizer,v*****i,5,positive,{},This product is really good for my skin. I’ve been using it for about three years now. Buying it during a sale is definitely worth it. Its large size is also very satisfying.,this product is really good for my skin i ve been using it for about three years now buying it during a sale is definitely worth it its large size is also very satisfying,good skin three year buying sale definitely worth large size satisfying,"['good', 'skin', 'three', 'year', 'buying', 'sale', 'definitely', 'worth', 'large', 'size', 'satisfying']"
moisturizer,a*****3,5,positive,{},"texture is lightweight, non-greasy, and absorbs quickly.",texture is lightweight non greasy and absorbs quickly,texture lightweight non greasy absorbs quickly,"['texture', 'lightweight', 'non', 'greasy', 'absorbs', 'quickly']"
moisturizer,a*****0,5,positive,"{'Absorption': 'fast', 'Skin Suitability': 'oily'}","I really like this moisturizer. The texture is lightweight, absorbs quickly, and doesn’t feel greasy at all. It helps keep my skin hydrated and calm, especially when my skin barrier feels weak. Suitable for daily use and works well under makeup.",i really like this moisturizer the texture is lightweight absorbs quickly and doesn t feel greasy at all it helps keep my skin hydrated and calm especially when my skin barrier feels weak suitable for daily use and works well under makeup,like moisturizer texture lightweight absorbs quickly feel greasy help keep skin hydrated calm especially skin barrier feel weak suitable daily work well makeup,"['like', 'moisturizer', 'texture', 'lightweight', 'absorbs', 'quickly', 'feel', 'greasy', 'help', 'keep', 'skin', 'hydrated', 'calm', 'especially', 'skin', 'barrier', 'feel', 'weak', 'suitable', 'daily', 'work', 'well', 'makeup']"
moisturizer,d*****a,5,positive,{},"I’ve been using the Skintific moisturizer and it works really well! The texture is lightweight, non-greasy, and absorbs quickly. It keeps my skin hydrated all day without causing any breakouts. I love the smooth, glowing effect it gives. Perfect for daily use, especially for sensitive or combination skin.",i ve been using the skintific moisturizer and it works really well the texture is lightweight non greasy and absorbs quickly it keeps my skin hydrated all day without causing any breakouts i love the smooth glowing effect it gives perfect for daily use especially for sensitive or combination skin,moisturizer work well texture lightweight non greasy absorbs quickly keep skin hydrated day without causing breakout love smooth glowing effect give perfect daily especially sensitive combination skin,"['moisturizer', 'work', 'well', 'texture', 'lightweight', 'non', 'greasy', 'absorbs', 'quickly', 'keep', 'skin', 'hydrated', 'day', 'without', 'causing', 'breakout', 'love', 'smooth', 'glowing', 'effect', 'give', 'perfect', 'daily', 'especially', 'sensitive', 'combination', 'skin']"
moisturizer,p*****3,5,positive,{},"The product from Skintific 5X ceramide is very good to use when we exfoliate using the Skintific peeling solution product.  Because it contains ingredients that are soothing for facial skin after exfoliation, the information I got from live streaming on Shopee.  Hopefully the results are good, Thx to the Skintific official store for the timely delivery 💋",the product from skintific x ceramide is very good to use when we exfoliate using the skintific peeling solution product because it contains ingredients that are soothing for facial skin after exfoliation the information i got from live streaming on shopee hopefully the results are good thx to the skintific official store for the timely delivery,ceramide good exfoliate peeling solution contains ingredient soothing facial skin exfoliation information live streaming hopefully result good thx official store timely,"['ceramide', 'good', 'exfoliate', 'peeling', 'solution', 'contains', 'ingredient', 'soothing', 'facial', 'skin', 'exfoliation', 'information', 'live', 'streaming', 'hopefully', 'result', 'good', 'thx', 'official', 'store', 'timely']"
moisturizer,j*****2,5,positive,{},"Moisture Gel is light, soothing, and absorbs quickly without stickiness",moisture gel is light soothing and absorbs quickly without stickiness,moisture gel light soothing absorbs quickly without stickiness,"['moisture', 'gel', 'light', 'soothing', 'absorbs', 'quickly', 'without', 'stickiness']"
