product,author,stars,sentiment,tags,free_text,clean_text,processed_text,tokens_lemma
cushion,lindadoublel,5,positive,{},Wowwww!!!!! Amazing… i so like this foundational very good and easy to use  I love this so much 😙😙😘,wo amazing i so like this foundational very good and easy to use i love this so much,amazing like foundational good easy love,"['amazing', 'like', 'foundational', 'good', 'easy', 'love']"
cushion,s*****s,5,positive,"{'Beauty Profile': 'hyperpigmentation, uneven skin tone', 'User Tips': 'perfect for asian sawo matang, yellow-tan skintone', 'Usage Experience': 'perfect, doesnt run easily and matte!'}","Fast delivery, well packed, functions well, thank you seller!",functions well,function well,"['function', 'well']"
cushion,secret_baby88,5,positive,"{'Coverage': 'good', 'Texture': 'good'}","This is my second purchase. I bought it at a discounted price. I'm satisfied with the makeup application; the makeup lasts a long time, but I still need to use setting spray.",this is my second purchase i bought it at a discounted price i m satisfied with the makeup application the makeup lasts a long time but i still need to use setting spray,discounted satisfied makeup application makeup last long need setting spray,"['discounted', 'satisfied', 'makeup', 'application', 'makeup', 'last', 'long', 'need', 'setting', 'spray']"
cushion,h*****e,5,positive,{},"Finally got my hands on this Jeans version! This blue cushion suits my combination to oily skin. But the content is only 11ml, lasts me for only 1 month+ for everyday usage.   Has medium buildable coverage, no need concealer if you don't have dark scars. This one has matte finishing so it doesn't crack after long hours, surprisingly it works well for me!",finally got my hands on this jeans version this blue cushion suits my combination to oily skin but the content is only ml lasts me for only month for everyday usage has medium buildable coverage no need concealer if you don t have dark scars this one has matte finishing so it doesn t crack after long hours surprisingly it works well for me,finally hand jean version blue cushion suit combination oily skin content last month everyday usage medium buildable coverage need concealer dark scar matte finishing crack long hour surprisingly work well,"['finally', 'hand', 'jean', 'version', 'blue', 'cushion', 'suit', 'combination', 'oily', 'skin', 'content', 'last', 'month', 'everyday', 'usage', 'medium', 'buildable', 'coverage', 'need', 'concealer', 'dark', 'scar', 'matte', 'finishing', 'crack', 'long', 'hour', 'surprisingly', 'work', 'well']"
cushion,ainaalyaanaa,5,positive,"{'User Tips': 'tap gently with the cushion puff instead of swiping. for longger wear, set lightly with powder on t-zone. keeps it matte all day.', 'Benefits': 'the cushion has smooth texture, blends easily & gives a nice matte finish. coverage is good, lightweight & comfortable to wear even for long hours.', 'Packaging': 'packaging secure  overall im happy with this purchase. beli time live memang murah. great service from seller, very helpful. product arrived quickly without any issue. highly recommended!!!'}","overall im happy with this purchase. beli time live memang murah. great service from seller, very helpful. product arrived quickly without any issue. highly recommended!!!",overall im happy with this purchase beli time live memang murah great service from seller very helpful product arrived quickly without any issue highly recommended,overall happy beli live memang murah great service helpful arrived quickly without issue highly recommended,"['overall', 'happy', 'beli', 'live', 'memang', 'murah', 'great', 'service', 'helpful', 'arrived', 'quickly', 'without', 'issue', 'highly', 'recommended']"
cushion,h*****7,5,positive,{},"Fast delivery! under 2 days i would say and arrived in proper sealed package. The code SAND bit lit for me but adjustable i guess for me. it's more to yellow tone kind of fair rather than white kind of fair like, southeast asian skin tone than eastern asians like korea , china or japan kind of skin tone. Since its matte, it set quite fast so you need to blend it fast and it's also think and less watery, soft to skin and water resistant. verrrryyy easy to blend and not cakey, light on skin and cover my blemishes very well and barely see any cracks. Thank youu skintific. 🌸",under days i would say and arrived in proper sealed package the code sand bit lit for me but adjustable i guess for me it s more to yellow tone kind of fair rather than white kind of fair like southeast asian skin tone than eastern asians like korea china or japan kind of skin tone since its matte it set quite fast so you need to blend it fast and it s also think and less watery soft to skin and water resistant verrrryyy easy to blend and not cakey light on skin and cover my blemishes very well and barely see any cracks thank youu skintific,day say arrived proper sealed package code sand bit lit adjustable guess yellow tone kind fair rather white kind fair like southeast asian skin tone eastern asian like korea china japan kind skin tone since matte set quite fast need blend fast think less watery soft skin water resistant verrrryyy easy blend cakey light skin cover blemish well barely see crack youu,"['day', 'say', 'arrived', 'proper', 'sealed', 'package', 'code', 'sand', 'bit', 'lit', 'adjustable', 'guess', 'yellow', 'tone', 'kind', 'fair', 'rather', 'white', 'kind', 'fair', 'like', 'southeast', 'asian', 'skin', 'tone', 'eastern', 'asian', 'like', 'korea', 'china', 'japan', 'kind', 'skin', 'tone', 'since', 'matte', 'set', 'quite', 'fast', 'need', 'blend', 'fast', 'think', 'less', 'watery', 'soft', 'skin', 'water', 'resistant', 'verrrryyy', 'easy', 'blend', 'cakey', 'light', 'skin', 'cover', 'blemish', 'well', 'barely', 'see', 'crack', 'youu']"
cushion,n*****a,5,positive,"{'Benefits': 'good', 'Beauty Effect': 'good', 'Usage Experience': 'good'}","Your parcel has been successfully out from warehouse and started cross-border transportation, please wait patiently for your parcel to be delivered!",successfully and started for your parcel to be delivered,successfully started delivered,"['successfully', 'started', 'delivered']"
cushion,e*****4,5,positive,{},"finish. Not oily after applying. Good coverage. Packaging:Well packed, no damage to the box. But there is a smell when opening the jeans box. Usage Experience:I use this every day and it helps to even up my skin tone. It is not cakey and gives a good coverage. The frequency to change a new refill is high though.",finish not oily after applying good coverage packaging no damage to the box but there is a smell when opening the jeans box usage experience i use this every day and it helps to even up my skin tone it is not cakey and gives a good coverage the frequency to change a new refill is high though,finish oily applying good coverage damage box smell opening jean box usage experience every day help skin tone cakey give good coverage frequency change new refill high though,"['finish', 'oily', 'applying', 'good', 'coverage', 'damage', 'box', 'smell', 'opening', 'jean', 'box', 'usage', 'experience', 'every', 'day', 'help', 'skin', 'tone', 'cakey', 'give', 'good', 'coverage', 'frequency', 'change', 'new', 'refill', 'high', 'though']"
cushion,m*****t,5,positive,"{'Beauty Effect': 'matte, good coverage as a cushion', 'Packaging': 'nice packaging, decent amount'}","Great cushion! Very easy to apply and use, it does wipe off when i pat with a tissue lightly but coverage is quite nice. I have combi skin, it kind of helps to control the oil appearance too.",great cushion very easy to apply and use it does wipe off when i pat with a tissue lightly but coverage is quite nice i have combi skin it kind of helps to control the oil appearance too,great cushion easy apply wipe pat tissue lightly coverage quite nice combi skin kind help control oil appearance,"['great', 'cushion', 'easy', 'apply', 'wipe', 'pat', 'tissue', 'lightly', 'coverage', 'quite', 'nice', 'combi', 'skin', 'kind', 'help', 'control', 'oil', 'appearance']"
cushion,kirensonia,5,positive,{'Matte Usage Experience': 'blends well'},Use it daily. Received compliments that I look fresh and all day😁. Good coverage as well. It blends with my skin tone well too,use it daily received compliments that i look fresh and all day good coverage as well it blends with my skin tone well too,daily compliment look fresh day good coverage well blend skin tone well,"['daily', 'compliment', 'look', 'fresh', 'day', 'good', 'coverage', 'well', 'blend', 'skin', 'tone', 'well']"
